text,label,processed_text
"Ночь, улица, фонарь, аптека,
Бессмысленный и тусклый свет.
Живи ещё хоть четверть века —
Всё будет так. Исхода нет.
Умрёшь — начнёшь опять сначала
И повторится всё, как встарь:
Ночь, ледяная рябь канала,
Аптека, улица, фонарь.",1,ночь улица фонарь аптека бессмысленный тусклый свет живить четверть век весь исход умереть начнешь сначала повториться весь встарь ночь ледяной рябь канал аптека улица фонарь
"Пустая улица. Один огонь в окне.
Еврей-аптекарь охает во сне.
А перед шкапом с надписью Venena
Хозяйственно согнув скрипучие колена,
Скелет, до глаз закутанный плащом,
Чего-то ищет, скалясь черным ртом…
Нашел… Но ненароком чем-то звякнул,
И череп повернул… Аптекарь крякнул,
Привстал — и на другой свалился бок…
А гость меж тем — заветный пузырек
Суёт из-под плаща двум женщинам безносым.
На улице, под фонарем белёсым.",1,пустой улица огонь окно еврей аптекарь охаять сон шкап надпись хозяйственный согнув скрипучие колено скелет глаз закутать плащ искать скалиться черный рот найти ненароком звякнуть череп повернуть аптекарь крякнуть привстать свалиться бок гость меж заветный пузырек суета плащ женщина безносый улица фонарь белесый
"Старый, старый сон. Из мрака
Фонари бегут — куда?
Там — лишь черная вода,
Там — забвенье навсегда.
Тень скользит из-за угла,
К ней другая подползла.
Плащ распахнут, грудь бела,
Алый цвет в петлице фрака.
Тень вторая — стройный латник,
Иль невеста от венца?
Шлем и перья. Нет лица.
Неподвижность мертвеца.
В воротах гремит звонок,
Глухо щелкает замок.
Переходят за порог
Проститутка и развратник…
Воет ветер леденящий,
Пусто, тихо и темно.
Наверху горит окно.
Всё равно.
Как свинец, черна вода.
В ней забвенье навсегда.
Третий призрак. Ты куда,
Ты, из тени в тень скользящий?",1,старый старый сон мрак фонарь бежать лишь черный вода забвение навсегда тень скользить угол подползти плащ распахнуть грудь бела алый цвет петлица фрак тень второй стройный латник иль невеста венец шлем перо лицо неподвижность мертвец ворота греметь звонок глухо щелкает замок переходить порог проститутка развратник выть ветер леденящий пустой тихий темный наверху гореть окно весь равный свинец черный вода забвенье навсегда третий призрак тень тень скользящий
"Вновь богатый зол и рад,
Вновь унижен бедный.
С кровель каменных громад
Смотрит месяц бледный,
Насылает тишину,
Оттеняет крутизну
Каменных отвесов,
Черноту навесов…
Всё бы это было зря,
Если б не было царя,
Чтоб блюсти законы.
Только не ищи дворца,
Добродушного лица,
Золотой короны.
Он — с далеких пустырей
В свете редких фонарей
Появляется.
Шея скручена платком,
Под дырявым козырьком
Улыбается.",1,вновь богатый зол рад вновь унизить бедный кровля каменный громада смотреть месяц бледный насылать тишина оттенять крутизна каменный отвес черноту навес весь это зря царь блюсти закон искать дворец добродушный лицо золотой корона далекий пустырь свет редкий фонарь появляться шея скрутить платок дырявый козырек улыбаться
"8. Анна Ахматова Он прав — опять фонарь, аптека…
Он прав — опять фонарь, аптека,
Нева, безмолвие, гранит…
Как памятник началу века,
Там этот человек стоит —
Когда он Пушкинскому Дому,
Прощаясь, помахал рукой
И принял смертную истому
Как незаслуженный покой.",1,анна ахматов правый фонарь аптека правый фонарь аптека нева безмолвие гранит памятник начало век человек стоить пушкинский дом прощаться помахать рука принять смертный истый незаслуженный покой
"9. Марина Цветаева Осыпались листья
Осыпались листья над Вашей могилой,
И пахнет зимой.
Послушайте, мёртвый, послушайте, милый:
Вы всё-таки мой.
Смеётесь! — В блаженной крылатке дорожной!
Луна высока.
Мой — так несомненно и так непреложно,
Как эта рука.
Опять с узелком подойду утром рано
К больничным дверям.
Вы просто уехали в жаркие страны,
К великим морям.
Я Вас целовала! Я Вам колдовала!
Смеюсь над загробною тьмой!
Я смерти не верю! Я жду Вас с вокзала —
Домой.
Пусть листья осыпались, смыты и стёрты
На траурных лентах слова.
И, если для целого мира Вы мёртвый,
Я тоже мертва.
Я вижу, я чувствую, — чую Вас всюду!
— Что́ ленты от Ваших венков! —
Я Вас не забыла и Вас не забуду
Во веки веков!
Таких обещаний я знаю бесцельность,
Я знаю тщету.
— Письмо в бесконечность. — Письмо
в беспредельность —
Письмо в пустоту.",1,марина цветаев осыпаться лист осыпаться лист ваш могила пахнуть зима послушать мертвый послушайте милый таки смеетесь блаженный крылатка дорожный луна высокий несомненно непреложный рука узелок подойти утро рано больничный дверь просто уехать жаркий страна великий море целовать колдовать смеяться загробный тьма смерть верить ждать вокзал домой пусть лист осыпаться смыть стертый траурный лента слово целый мир мертвый мертвый видеть чувствовать чуять всюду лента ваш венок забыть забыть веко век обещание знать бесцельность знать тщета письмо бесконечность письмо беспредельность письмо пустота
"10. Марина Цветаева Так будет
Словно тихий ребенок, обласканный тьмой,
С бесконечным томленьем в блуждающем взоре,
Ты застыл у окна. В коридоре
Чей-то шаг торопливый — не мой!
Дверь открылась… Морозного ветра струя…
Запах свежести, счастья… Забыты тревоги…
Миг молчанья, и вот на пороге
Кто-то слабо смеется — не я!
Тень трамваев, как прежде, бежит по стене,
Шум оркестра внизу осторожней и глуше…
— «Пусть сольются без слов наши души!»
Ты взволнованно шепчешь — не мне!
— «Сколько книг!.. Мне казалось… Не надо огня:
Так уютней… Забыла сейчас все слова я»…
Видят беглые тени трамвая
На диване с тобой — не меня!",1,марина цветаев словно тихий ребенок обласкать тьма бесконечный томление блуждающий взор застынуть окно коридор чей шаг торопливый дверь открыться морозный ветер струя запах свежесть счастие забыть тревога миг молчание порог слабо смеяться тень трамвай прежде бежать стена шум оркестр внизу осторожней глуше пусть слиться слово наш душа взволнованно шептать сколько книга казаться огонь уютней забыть весь слово видеть беглый тень трамвай диван
"11. Николай Гумилев Мне снилось
Мне снилось: мы умерли оба,
Лежим с успокоенным взглядом,
Два белые, белые гроба
Поставлены рядом.
Когда мы сказали — довольно?
Давно ли, и что это значит?
Но странно, что сердцу не больно,
Что сердце не плачет.
Бессильные чувства так странны,
Застывшие мысли так ясны,
И губы твои не желанны,
Хоть вечно прекрасны.
Свершилось: мы умерли оба,
Лежим с успокоенным взглядом,
Два белые, белые гроба
Поставлены рядом.",1,николай гумилев сниться сниться умереть оба лежать успокоить взгляд белый белый гроб поставить рядом сказать довольно давно это значить странный сердце больно сердце плакать бессильный чувство странный застывший мысль ясный губа твой желанный вечно прекрасный свершилось умереть оба лежать успокоить взгляд белый белый гроб поставить рядом
"12. Анна Ахматова Кого когда-то называли люди
Кого когда-то называли люди
Царем в насмешку, Богом в самом деле,
Кто был убит — и чье орудье пытки
Согрето теплотой моей груди…
Вкусили смерть свидетели Христовы,
И сплетницы-старухи, и солдаты,
И прокуратор Рима — все прошли.
Там, где когда-то возвышалась арка,
Где море билось, где чернел утес, –
Их выпили в вине, вдохнули с пылью жаркой
И с запахом бессмертных роз.
Ржавеет золото и истлевает сталь,
Крошится мрамор — к смерти все готово.
Всего прочнее на земле печаль
И долговечней — царственное слово.",1,анна ахматов называть человек называть человек царь насмешка бог дело убить чей орудье пытка согреть теплота грудь вкусили смерть свидетель христов сплетница старуха солдат прокуратор рим весь пройти возвышаться арка море биться чернеть утес выпить вина вдохнуть пыль жаркий запах бессмертный роза ржаветь золото истлевать сталь крошиться мрамор смерть весь готовый прочный земля печаль долговечней царственный слово
"13. Анна Ахматова Песня последней встречи
Так беспомощно грудь холодела,
Но шаги мои были легки.
Я на правую руку надела
Перчатку с левой руки.
Показалось, что много ступеней,
А я знала — их только три!
Между кленов шепот осенний
Попросил: «Со мною умри!
Я обманут моей унылой,
Переменчивой, злой судьбой».
Я ответила: «Милый, милый!
И я тоже. Умру с тобой…»
Это песня последней встречи.
Я взглянула на темный дом.
Только в спальне горели свечи
Равнодушно-желтым огнем.",1,анна ахматов песня последний встреча беспомощно грудь холодеть шаг легкий правый рука надеть перчатка левый рука показаться ступень знать клен шепот осенний попросить умри обмануть унылый переменчивый злой судьба ответить милый милый умереть это песня последний встреча взглянуть темный дом спальня гореть свеча равнодушно желтый огонь
"14. Иосиф Бродский Бессмертия у смерти не прошу
Бессмертия у смерти не прошу.
Испуганный, возлюбленный и нищий, —
но с каждым днем я прожитым дышу
уверенней и сладостней и чище.
Как широко на набережных мне,
как холодно и ветрено и вечно,
как облака, блестящие в окне,
надломленны, легки и быстротечны.
И осенью и летом не умру,
не всколыхнется зимняя простынка,
взгляни, любовь, как в розовом углу
горит меж мной и жизнью паутинка.
И что-то, как раздавленный паук,
во мне бежит и странно угасает.
Но выдохи мои и взмахи рук
меж временем и мною повисают.
Да. Времени — о собственной судьбе
кричу все громче голосом печальным.
Да. Говорю о времени себе,
но время мне ответствует молчаньем.
Лети в окне и вздрагивай в огне,
слетай, слетай на фитилечек жадный.
Свисти, река! Звони, звони по мне,
мой Петербург, мой колокол пожарный.
Пусть время обо мне молчит.
Пускай легко рыдает ветер резкий
и над моей могилою еврейской
младая жизнь настойчиво кричит.",1,иосиф бродский бессмертие смерть просить бессмертие смерть просить испуганный возлюбить нищий каждый день прожитым дышать уверенный сладостней чище широко набережная холодный ветреный вечно облако блестящий окно надломленна легкий быстротечный осень лето умереть всколыхнуться зимний простынка взглянуть любовь розовый угол гореть меж жизнь паутинка раздавить паук бежать странно угасать выдохи взмах рука межа время повисают время собственный судьба кричать громкий голос печальный говорить время время ответствовать молчание лететь окно вздрагивать огонь слетай слетать фитилечек жадный свистеть река звонить звонить петербург колокол пожарный пусть время молчать пускай легко рыдать ветер резкий могила еврейский младой жизнь настойчиво кричать
"15. Иосиф Бродский Одиночество
Когда теряет равновесие
твоё сознание усталое,
когда ступеньки этой лестницы
уходят из-под ног,
как палуба,
когда плюёт на человечество
твоё ночное одиночество, —
ты можешь
размышлять о вечности
и сомневаться в непорочности
идей, гипотез, восприятия
произведения искусства,
и — кстати — самого зачатия
Мадонной сына Иисуса.
Но лучше поклоняться данности
с глубокими её могилами,
которые потом,
за давностью,
покажутся такими милыми.
Да.
Лучше поклоняться данности
с короткими её дорогами,
которые потом
до странности
покажутся тебе
широкими,
покажутся большими,
пыльными,
усеянными компромиссами,
покажутся большими крыльями,
покажутся большими птицами.
Да. Лучше поклоняться данности
с убогими её мерилами,
которые потом до крайности,
послужат для тебя перилами
(хотя и не особо чистыми),
удерживающими в равновесии
твои хромающие истины
на этой выщербленной лестнице.",1,иосиф бродский одиночество терять равновесие твой сознание усталый ступенька лестница уходить нога палуба плевать человечество твой ночной одиночество мочь размышлять вечность сомневаться непорочность идея гипотеза восприятие произведение искусство кстати зачатие мадонна сын иисус поклоняться данность глубокий могила который давность показаться милый поклоняться данность короткий дорога который странность показаться широкий показаться больший пыльный усеять компромисс показаться больший крыло показаться больший птица поклоняться данность убогий мерило который крайность послужить перила хотя особо чистый удерживать равновесие твой хромать истина выщербить лестница
